model,k,chi2,AIC,BIC,params
Fiducial LCDM,0,14.253570715814867,14.253570715814867,14.253570715814867,sigma8_0=0.811 (fixed)
LCDM + amplitude,1,11.096824632931332,13.096824632931332,13.176266174611168,sigma8_0=0.763
Hu-Sawicki n=1,2,14.253570717106907,18.253570717106907,18.41245380046658,"c1=0.000, c2=50.00"
